profile,candidate_weight,iteration,bvh_frac_of_total,raw_penetration_bvh,raw_chamfer
stage2,0.0001,0,0.0032332455268530703,0.11230679601430893,0.00253439974039793
stage2,0.0001,1,0.0023872603732090552,0.10799020528793335,0.0024945861659944057
stage2,0.0001,2,0.0023695805058878082,0.09776517003774643,0.0022860399913042784
stage2,0.0001,3,0.002524832777632658,0.09789767116308212,0.0021505618933588266
stage2,0.0001,4,0.0022544190653760086,0.08422419428825378,0.0020727775990962982
stage2,0.0001,5,0.0023486474968905974,0.08453027904033661,0.0019878684543073177
stage2,0.0001,6,0.0034465242498273423,0.11676029860973358,0.0018120873719453812
stage2,0.0001,7,0.004214453795280324,0.13972797989845276,0.0017703177873045206
stage2,0.0001,8,0.004288781370300289,0.14032649993896484,0.0017514813225716352
stage2,0.0001,9,0.0038566059523795393,0.11976977437734604,0.001604161225259304
stage2,0.0001,10,0.0038786766469899154,0.11850786209106445,0.0015739196678623557
stage2,0.0001,11,0.003404275516038037,0.100864939391613,0.0014982218854129314
stage2,0.0001,12,0.00320023189935472,0.09223765134811401,0.0014320744667202234
stage2,0.0001,13,0.00357390314065434,0.10029155015945435,0.0013673778157681227
stage2,0.0001,14,0.0031964454594523304,0.08862489461898804,0.0013468493707478046
stage2,0.0001,15,0.0035578353788579607,0.09568703174591064,0.001274406211450696
stage2,0.0001,16,0.003215625192371496,0.08424672484397888,0.001217300770804286
stage2,0.0001,17,0.0029334095730176846,0.0772940143942833,0.0012420604471117258
stage2,0.0001,18,0.0023291553723976326,0.059478454291820526,0.0011708608362823725
stage2,0.0001,19,0.0021821590898075723,0.0547371581196785,0.0011354007292538881
stage2,0.0005,0,0.015858413540498124,0.11230679601430893,0.0025568981654942036
stage2,0.0005,1,0.015913125108005702,0.144339919090271,0.002447927137836814
stage2,0.0005,2,0.014606893079260943,0.12227609008550644,0.002283272100612521
stage2,0.0005,3,0.007533084867959394,0.05870527774095535,0.002129428554326296
stage2,0.0005,4,0.006187486804279057,0.04741034656763077,0.002130443463101983
stage2,0.0005,5,0.0067999184074579435,0.049593325704336166,0.001989522483199835
stage2,0.0005,6,0.007357604419366271,0.051492780447006226,0.0018813181668519974
stage2,0.0005,7,0.01020096050732913,0.06905950605869293,0.0017901951214298606
stage2,0.0005,8,0.013987067202815444,0.09480427205562592,0.0018038954585790634
stage2,0.0005,9,0.018408481796383946,0.12066948413848877,0.0016992832534015179
stage2,0.0005,10,0.019092110802397165,0.12402936071157455,0.001681814668700099
stage2,0.0005,11,0.013030730847707304,0.08250907063484192,0.0016364117618650198
stage2,0.0005,12,0.009149113108373703,0.05636255443096161,0.0015738396905362606
stage2,0.0005,13,0.012595002454027497,0.07609708607196808,0.0015155619475990534
stage2,0.0005,14,0.014305951556870592,0.0836663693189621,0.0014244765043258667
stage2,0.0005,15,0.018931142960659047,0.10801877081394196,0.0013497736072167754
stage2,0.0005,16,0.018450154041022387,0.10295402258634567,0.0012962891487404704
stage2,0.0005,17,0.018249114412499177,0.10139144957065582,0.001293964684009552
stage2,0.0005,18,0.01184383751298486,0.06416790187358856,0.0012499941512942314
stage2,0.0005,19,0.011416387054813596,0.060714926570653915,0.001207663444802165
stage2,0.001,0,0.031179490231939597,0.11230679601430893,0.0025617678184062243
stage2,0.001,1,0.03352122398246138,0.15527741611003876,0.0024662469513714314
stage2,0.001,2,0.029163555199841824,0.12913869321346283,0.002462953794747591
stage2,0.001,3,0.014774638057150456,0.061933308839797974,0.0023955069482326508
stage2,0.001,4,0.01993730789921587,0.07967167347669601,0.0022413150873035192
stage2,0.001,5,0.01908318131974254,0.07193025201559067,0.002064781729131937
stage2,0.001,6,0.012182442754533482,0.04415905103087425,0.001980407629162073
stage2,0.001,7,0.012682669852803865,0.044690873473882675,0.0019073521252721548
stage2,0.001,8,0.013575572882180049,0.046135060489177704,0.0018024593591690063
stage2,0.001,9,0.01029613976233809,0.03434517979621887,0.0017690127715468407
stage2,0.001,10,0.011642106334284455,0.0372953936457634,0.001650594174861908
stage2,0.001,11,0.006631056546000585,0.02050631493330002,0.00157146283891052
stage2,0.001,12,0.011145661712171405,0.03449166566133499,0.0015727317659184337
stage2,0.001,13,0.013377788794815165,0.04037722945213318,0.0015023327432572842
stage2,0.001,14,0.016700708439000594,0.04940659552812576,0.0014444853877648711
stage2,0.001,15,0.0184479499921714,0.053475044667720795,0.0013878386234864593
stage2,0.001,16,0.015881403275805794,0.044880472123622894,0.0013331560185179114
