mesh,stage,chamfer_l2,chamfer_l1,acc_mean,comp_mean,hausdorff_95,hausdorff_max,fscore@0.005,precision@0.005,recall@0.005,fscore@0.01,precision@0.01,recall@0.01,fscore@0.02,precision@0.02,recall@0.02,fscore@0.05,precision@0.05,recall@0.05,normal_consistency,normal_flip_frac,edge_ratio_mean,edge_ratio_std,edge_stretch_p95,edge_compress_p05,edge_logratio_absmean,area_ratio_mean,area_logratio_absmean,degenerate_tri_frac,tri_quality_mean,tri_quality_p05,deform_mag_mean,deform_mag_p95,deform_mag_max,dihedral_mean,dihedral_p99,folded_face_frac,midline_dev_mean,midline_dev_p95,midline_dev_mean_norm,midline_dev_excess,part_body_dist_mean,part_body_dist_p95,part_body_within_tau,part_head_dist_mean,part_head_dist_p95,part_head_within_tau,part_antenna_dist_mean,part_antenna_dist_p95,part_antenna_within_tau,part_mandible_dist_mean,part_mandible_dist_p95,part_mandible_within_tau,part_leg_dist_mean,part_leg_dist_p95,part_leg_within_tau,part_leg_distal_dist_mean,part_leg_distal_dist_p95,part_leg_distal_within_tau
Acanthostichus_aff.brevicornis_CASENT0744328_processed.obj,Stage_3_deform_fine,0.0003057553549297154,0.016824932768940926,0.009612089954316616,0.0072128428146243095,0.03290071338415146,0.10965299606323242,0.35849741101264954,0.35753333568573,0.35946667194366455,0.7932599782943726,0.7822666764259338,0.8045666813850403,0.9420657753944397,0.9089666604995728,0.9776666760444641,0.9872050285339355,0.9747333526611328,1.0,0.8129218816757202,0.11083333194255829,1.4637374877929688,1.9433071613311768,3.5892412662506104,0.40331190824508667,0.4559060037136078,3.25482177734375,0.8133987784385681,0.0,0.705128014087677,0.19454659521579742,0.02520190179347992,0.06006443500518799,0.1582508683204651,11.884934425354004,62.65076446533203,0.0036830613389611244,0.03260631114244461,0.07116564363241196,0.032647401094436646,0.0021754875779151917,0.005491107236593962,0.010293535888195038,0.9942529201507568,0.005047095473855734,0.009551795199513435,1.0,0.007103550247848034,0.011715766973793507,1.0,0.005812684074044228,0.010226476937532425,1.0,0.00628660898655653,0.011163013987243176,0.9958794713020325,0.0064072380773723125,0.010756252333521843,0.9987834692001343
Acromyrmex_coronatus_CASENT0744365_processed.obj,Stage_3_deform_fine,0.0037485011853277683,0.04357963055372238,0.03426000848412514,0.009319623932242393,0.14940589666366577,0.281659871339798,0.1803288757801056,0.17303334176540375,0.18826666474342346,0.5781962871551514,0.5143333673477173,0.6601666808128357,0.7815486788749695,0.6628333330154419,0.9520666599273682,0.8750205636024475,0.7781333327293396,0.9994666576385498,0.6533166766166687,0.2689666748046875,1.6122381687164307,2.4089150428771973,3.975930690765381,0.4077194929122925,0.5120293498039246,5.017582893371582,0.9466995596885681,0.0,0.6642898917198181,0.1715274304151535,0.03956378251314163,0.10093840956687927,0.24691812694072723,13.491045951843262,68.04759216308594,0.0047912392765283585,0.08637959510087967,0.2610974609851837,0.08919108659029007,0.004373826086521149,0.007050621788948774,0.013307128101587296,0.9862068891525269,0.005983688868582249,0.011095215566456318,0.9981592297554016,0.007643968798220158,0.01152737531810999,0.9861878752708435,0.007912698201835155,0.012663036584854126,1.0,0.007592764683067799,0.012974751181900501,0.9721864461898804,0.007272566203027964,0.012755880132317543,0.9914841651916504
Acromyrmex_lobicornis_CASENT0878007_processed.obj,Stage_3_deform_fine,0.00038687739288434386,0.02184680849313736,0.011490846984088421,0.010355960577726364,0.03202822059392929,0.09486938267946243,0.1544841080904007,0.1560666710138321,0.15293332934379578,0.5869411826133728,0.597266674041748,0.5769666433334351,0.9150895476341248,0.9025333523750305,0.9280000329017639,0.9893910884857178,0.9799333214759827,0.9990333318710327,0.8012996315956116,0.12256667017936707,1.8718762397766113,3.2507214546203613,5.243335247039795,0.390318363904953,0.5786440372467041,8.659934043884277,1.0564336776733398,0.0,0.6946485638618469,0.18785524368286133,0.03989626094698906,0.09030141681432724,0.2339838296175003,13.939432144165039,70.7100601196289,0.005932010244578123,0.05124431848526001,0.12485791742801666,0.052620064467191696,0.006875481456518173,0.008033608086407185,0.014453476294875145,0.9900383353233337,0.008029880002140999,0.014937478117644787,0.9894155859947205,0.007730996701866388,0.013271208852529526,1.0,0.008710436522960663,0.013966419734060764,0.9947230219841003,0.008521963842213154,0.014561600051820278,0.9958794713020325,0.00854848325252533,0.014415300451219082,0.9951338171958923
Anochetus_risii_CASENT0877608_processed.obj,Stage_3_deform_fine,0.0002670658577699214,0.016237962990999222,0.00922423880547285,0.007013723719865084,0.031469423323869705,0.09847437590360641,0.32729247212409973,0.3288666605949402,0.32573333382606506,0.8255595564842224,0.8149333596229553,0.8364666700363159,0.9503165483474731,0.9162333607673645,0.9870333671569824,0.99018794298172,0.980566680431366,1.0,0.8187351226806641,0.08760000020265579,1.4312578439712524,2.2255425453186035,3.1682846546173096,0.4499662518501282,0.41346368193626404,3.606424331665039,0.738235592842102,0.0,0.7251513600349426,0.2049366980791092,0.026257557794451714,0.060002490878105164,0.14002838730812073,12.401755332946777,59.622947692871094,0.0028030378744006157,0.01828761212527752,0.04253784939646721,0.01845325343310833,0.003731432370841503,0.005460686050355434,0.010111355222761631,0.9977011680603027,0.005279297009110451,0.009696781635284424,1.0,0.007312055677175522,0.010987057350575924,1.0,0.006276445463299751,0.010761108249425888,1.0,0.00678674504160881,0.012137685902416706,0.9848055839538574,0.006067470647394657,0.01005979347974062,0.9963503479957581
Anochetus_risii_CASENT0877609_processed.obj,Stage_3_deform_fine,0.003573353635147214,0.040000028908252716,0.028583412989974022,0.011416615918278694,0.16393136978149414,0.3074427843093872,0.11749991029500961,0.11760000139474869,0.11739999800920486,0.4865223169326782,0.47876667976379395,0.49453333020210266,0.8359668850898743,0.7736999988555908,0.9091333150863647,0.928666889667511,0.8683666586875916,0.9979667067527771,0.7220476865768433,0.14946666359901428,1.581028938293457,2.8675930500030518,4.040044784545898,0.3589228689670563,0.5063860416412354,5.161913871765137,0.922799825668335,0.0,0.6884395480155945,0.17943498492240906,0.04265863820910454,0.10665585100650787,0.43821391463279724,13.454639434814453,69.07894134521484,0.004921612795442343,0.04638674855232239,0.10630278289318085,0.04725085198879242,0.0008228868246078491,0.008070024661719799,0.014810093678534031,0.9908046126365662,0.008069552481174469,0.014513161964714527,0.9917165637016296,0.008940150029957294,0.013789300806820393,1.0,0.008698180317878723,0.015407092869281769,0.9920845031738281,0.00942885410040617,0.01587662845849991,0.9778521656990051,0.009543495252728462,0.015221121720969677,0.9951338171958923
Aphaenogaster_pallida_CASENT0745235_processed.obj,Stage_3_deform_fine,0.00027568780933506787,0.016940811648964882,0.009276483207941055,0.007664327975362539,0.02727178856730461,0.11207366734743118,0.304749995470047,0.3047666847705841,0.3047333359718323,0.7843720316886902,0.7785000205039978,0.7903333306312561,0.943946361541748,0.9222999811172485,0.9666333198547363,0.9918169379234314,0.9837666749954224,1.0,0.8348579406738281,0.10570000112056732,1.5971975326538086,2.5668935775756836,4.29613733291626,0.42508992552757263,0.4652038514614105,5.2685747146606445,0.8411463499069214,0.0,0.7410619854927063,0.22623209655284882,0.030045025050640106,0.08281850069761276,0.2825673818588257,12.224783897399902,65.84496307373047,0.004921612795442343,0.02232206054031849,0.04867139086127281,0.022405557334423065,0.0017110146582126617,0.005877870600670576,0.010726455599069595,0.9996168613433838,0.005750717595219612,0.01090956013649702,0.999539852142334,0.008433005772531033,0.013060717843472958,1.0,0.0075632124207913876,0.014277169480919838,0.9788918495178223,0.006658006925135851,0.011505690403282642,0.9917589426040649,0.006996165961027145,0.011146821081638336,1.0
Atopomyrmex_mocquerysi_CASENT0744784_processed.obj,Stage_3_deform_fine,0.00020313254208303988,0.014964905567467213,0.00839937012642622,0.006565535441040993,0.02694464474916458,0.07014431059360504,0.4049646854400635,0.40586668252944946,0.40406668186187744,0.8236342072486877,0.7995333671569824,0.8492333292961121,0.9513667225837708,0.9172666668891907,0.988099992275238,0.9965549111366272,0.9931333661079407,1.0,0.7945877313613892,0.18983332812786102,1.8637834787368774,3.230020046234131,4.961747169494629,0.4176936447620392,0.5713425278663635,6.043066024780273,1.0048149824142456,0.0,0.6629210710525513,0.17028386890888214,0.026692042127251625,0.06298322230577469,0.1399083435535431,13.507735252380371,71.05013275146484,0.00664906669408083,0.026807691901922226,0.0799674317240715,0.027331551536917686,-0.0016929134726524353,0.004996705334633589,0.009435620158910751,0.9988505840301514,0.004215733613818884,0.007977862842381,1.0,0.00507122278213501,0.0092282360419631,1.0,0.004518415313214064,0.007956152781844139,1.0,0.005620948038995266,0.01114938035607338,0.9935616850852966,0.005843066144734621,0.009410741738975048,1.0
Carebara_trechideros_CASENT0877591_processed.obj,Stage_3_deform_fine,0.000321606028592214,0.016573527827858925,0.009843464009463787,0.0067300633527338505,0.03656916320323944,0.11759358644485474,0.37511518597602844,0.37586668133735657,0.3743666708469391,0.8205273747444153,0.793233335018158,0.8497666716575623,0.9412977695465088,0.8988666534423828,0.987933337688446,0.9856821894645691,0.9718000292778015,0.9999666810035706,0.7564051151275635,0.1873999983072281,1.752091646194458,2.9386420249938965,4.480886459350586,0.4087024927139282,0.5417977571487427,5.5804314613342285,0.9765648245811462,0.0,0.6503586769104004,0.1498887836933136,0.029390720650553703,0.07249198853969574,0.17836230993270874,13.740142822265625,74.37843322753906,0.00664906669408083,0.02842753566801548,0.05127976834774017,0.02934647724032402,0.0032927896827459335,0.005290776491165161,0.00965816155076027,0.9961686134338379,0.0046340953558683395,0.008258714340627193,1.0,0.005830336827784777,0.009603173471987247,1.0,0.0054764351807534695,0.010220780037343502,1.0,0.0056727491319179535,0.010220405645668507,0.9938192367553711,0.00562363350763917,0.0096822464838624,1.0
Centromyrmex_brachycola_CASENT0744052_processed.obj,Stage_3_deform_fine,0.00024111985112540424,0.01699371263384819,0.009074556641280651,0.007919156923890114,0.02501421608030796,0.0944444090127945,0.2627226710319519,0.26616665720939636,0.2593666613101959,0.7686144709587097,0.7699333429336548,0.767300009727478,0.9532470107078552,0.9311666488647461,0.9764000177383423,0.9949762225151062,0.9901333451271057,0.9998666644096375,0.8304122090339661,0.14339999854564667,1.654053807258606,2.6393299102783203,4.340261459350586,0.3940716087818146,0.5230918526649475,4.933233261108398,0.9412766098976135,0.0,0.6960482597351074,0.19633768498897552,0.03189714998006821,0.0685684084892273,0.16298745572566986,13.120747566223145,64.80905151367188,0.0036830613389611244,0.017326699569821358,0.06619653105735779,0.017664320766925812,0.0024870941415429115,0.006336684338748455,0.011357005685567856,0.9938697814941406,0.006528646219521761,0.011901146732270718,0.994017481803894,0.007361645344644785,0.011638711206614971,1.0,0.007293851114809513,0.012473261915147305,0.9973615407943726,0.006802291143685579,0.01202525943517685,0.9938192367553711,0.006896857637912035,0.011564957909286022,1.0
Cephalotes_minutus_CASENT0709253_processed.obj,Stage_3_deform_fine,0.00021080038277432323,0.015674974769353867,0.008261695504188538,0.007413280196487904,0.01982082612812519,0.0939241349697113,0.3019635081291199,0.30810001492500305,0.29606667160987854,0.8066478371620178,0.8141666650772095,0.7992666959762573,0.9672267436981201,0.9507666826248169,0.9842666983604431,0.9948574304580688,0.9898000359535217,0.9999666810035706,0.8471627831459045,0.11786666512489319,1.6555577516555786,3.105499505996704,4.107324123382568,0.423576295375824,0.47416186332702637,5.536265850067139,0.8448448777198792,0.0,0.7402554154396057,0.23091375827789307,0.024553989991545677,0.05713434889912605,0.14097921550273895,12.118327140808105,58.9554443359375,0.0036504678428173065,0.03851597011089325,0.11715291440486908,0.03890490159392357,0.0005677230656147003,0.006007191259413958,0.010622541420161724,1.0,0.0059379832819104195,0.010536783374845982,1.0,0.005727720912545919,0.01047066505998373,1.0,0.006341940723359585,0.011069097556173801,1.0,0.0068407924845814705,0.012004145421087742,0.9951068758964539,0.007121986243873835,0.011464149691164494,1.0
