specimen,seed,total_penetration_burden_off,total_penetration_burden_on,pct_change,flagged_regression
antscan_processed_5x_02-35_processed,0,13.540757154462558,4.659972160527703,-65.58558648257022,False
antscan_processed_5x_02-35_processed,1,11.61904498049931,5.312538888945461,-54.2773188514056,False
antscan_processed_5x_02-35_processed,42,13.834124738696445,5.720485841738524,-58.64945596639494,False
antscan_processed_5x_22-45_processed,0,34.6556784412807,7.187210596165924,-79.26108816959487,False
antscan_processed_5x_22-45_processed,1,18.502175529253844,21.99257865361828,18.8648254841478,True
antscan_processed_5x_22-45_processed,42,9.86629273579362,13.21974440873418,33.98897400210594,True
antscan_processed_5x_23-37_processed,0,14.337430425218786,15.551528610287372,8.468031921069004,True
antscan_processed_5x_23-37_processed,1,21.14478254853672,10.584310193427905,-49.94363186695259,False
antscan_processed_5x_23-37_processed,42,22.494196679441455,14.449889639272886,-35.76169958325586,False
antscan_processed_5x_24-41_processed,0,2.9862415527750272,5.643987577347522,88.99970004444981,True
antscan_processed_5x_24-41_processed,1,1.9760055224614916,5.872385637076938,197.18467738702282,True
antscan_processed_5x_24-41_processed,42,27.525118137241975,2.286358821176691,-91.69355492035761,False
antscan_processed_5x_32-01_processed,0,6.979437423054578,5.585442480165315,-19.972884036249095,False
antscan_processed_5x_32-01_processed,1,9.196625035022192,8.812376676243693,-4.178145323042112,False
antscan_processed_5x_32-01_processed,42,9.020878052803154,5.1249576166140605,-43.18781845164698,False
antscan_processed_5x_32-02_processed,0,13.429747458894123,10.090118858727958,-24.867396876881912,False
antscan_processed_5x_32-02_processed,1,17.108409872045392,10.187843761637298,-40.45125270067374,False
antscan_processed_5x_32-02_processed,42,17.97248034015913,10.960626054901937,-39.014393965363546,False
antscan_processed_5x_37-26_processed,0,17.170626000268154,5.348582991570904,-68.85039024501859,False
antscan_processed_5x_37-26_processed,1,17.122714149531845,3.228002637828468,-81.14783316687719,False
antscan_processed_5x_37-26_processed,42,8.921954566378329,9.777731387641667,9.591808777958422,True
antscan_processed_5x_43-36_processed,0,21.856878924879016,12.302994325406752,-43.711110961031906,False
antscan_processed_5x_43-36_processed,1,41.4178976956743,14.934250227408079,-63.942519880800674,False
antscan_processed_5x_43-36_processed,42,45.307807009198484,9.929890482450736,-78.08348905424897,False
antscan_processed_GAGA_5x_GAGA-02-08_processed,0,8.824133225714363,19.998669043879325,126.63607328141083,True
antscan_processed_GAGA_5x_GAGA-02-08_processed,1,10.04919776110707,21.38332625361826,112.78640108344894,True
antscan_processed_GAGA_5x_GAGA-02-08_processed,42,12.613171600618443,14.989971568106288,18.84379316120068,True
antscan_processed_GAGA_5x_GAGA-04-06_processed,0,13.030893700662926,21.759551581690545,66.98433800118838,True
antscan_processed_GAGA_5x_GAGA-04-06_processed,1,17.59446205710712,16.50987977580987,-6.164338970847597,False
antscan_processed_GAGA_5x_GAGA-04-06_processed,42,19.17085523507428,34.04104324011075,77.56663864338472,True
