specimen,region,n_verts,deform_mag_mean,deform_mag_p95,deform_mag_max,edge_len_mean
Neoponera_goeldii_CASENT0745033_processed.obj,body,2611,0.0037436680868268013,0.010486333165317774,0.025987539440393448,0.021472621709108353
Neoponera_goeldii_CASENT0745033_processed.obj,head,2174,0.0033196050208061934,0.008405354991555211,0.0502886064350605,0.013449673540890217
Neoponera_goeldii_CASENT0745033_processed.obj,antenna,362,0.005633926950395107,0.013450641743838783,0.037179868668317795,0.019077304750680923
Neoponera_goeldii_CASENT0745033_processed.obj,mandible,379,0.005986920092254877,0.01566537078469991,0.13548795878887177,0.024225035682320595
Neoponera_goeldii_CASENT0745033_processed.obj,leg,3887,0.003232040675356984,0.007596660917624828,0.02230304852128029,0.0165962316095829
Neoponera_goeldii_CASENT0745033_processed.obj,leg_distal,822,0.00411200663074851,0.01075192778371273,0.06015712395310402,0.012527108192443848
Neoponera_goeldii_CASENT0745034_processed.obj,body,2611,0.004138130694627762,0.010226424783468246,0.07126924395561218,0.02576594240963459
Neoponera_goeldii_CASENT0745034_processed.obj,head,2174,0.0031612480524927378,0.008405748475342987,0.034650325775146484,0.017636770382523537
Neoponera_goeldii_CASENT0745034_processed.obj,antenna,362,0.00714041106402874,0.018259027041494846,0.05746936425566673,0.023020083084702492
Neoponera_goeldii_CASENT0745034_processed.obj,mandible,379,0.004802369512617588,0.013826263695955266,0.07983679324388504,0.02560369484126568
Neoponera_goeldii_CASENT0745034_processed.obj,leg,3887,0.005662988871335983,0.014878288470208641,0.23049487173557281,0.0218524020165205
Neoponera_goeldii_CASENT0745034_processed.obj,leg_distal,822,0.0071780565194785595,0.018893166258931157,0.09937155246734619,0.02303374372422695
Neoponera_laevigata_CASENT0744169_processed.obj,body,2611,0.004661743063479662,0.01152415806427598,0.1802436113357544,0.023840606212615967
Neoponera_laevigata_CASENT0744169_processed.obj,head,2174,0.001982053741812706,0.005756060499697922,0.018463006243109703,0.0128712709993124
Neoponera_laevigata_CASENT0744169_processed.obj,antenna,362,0.008363244123756886,0.023427460249513376,0.2209705263376236,0.022012624889612198
Neoponera_laevigata_CASENT0744169_processed.obj,mandible,379,0.006570569239556789,0.011997429281473156,0.04177045077085495,0.024320056661963463
