iteration,specimen,k,n_touched,coverage_fraction
7,Solenopsis_invicta_CASENT0744384_processed,3,749,0.07322318851947784
7,Acanthostichus_aff.brevicornis_CASENT0744328_processed,5,3683,0.36005473136901855
7,Acromyrmex_coronatus_CASENT0744365_processed,5,3742,0.3658226430416107
7,Solenopsis_invicta_CASENT0744384_processed,5,1096,0.10714634507894516
8,Acanthostichus_aff.brevicornis_CASENT0744328_processed,2,2321,0.22690390050411224
8,Acromyrmex_coronatus_CASENT0744365_processed,2,2670,0.26102256774902344
8,Solenopsis_invicta_CASENT0744384_processed,2,606,0.059243325144052505
8,Acanthostichus_aff.brevicornis_CASENT0744328_processed,3,2784,0.2721673548221588
8,Acromyrmex_coronatus_CASENT0744365_processed,3,3168,0.3097077012062073
8,Solenopsis_invicta_CASENT0744384_processed,3,791,0.07732915878295898
8,Acanthostichus_aff.brevicornis_CASENT0744328_processed,5,3681,0.3598592281341553
8,Acromyrmex_coronatus_CASENT0744365_processed,5,4057,0.39661744236946106
8,Solenopsis_invicta_CASENT0744384_processed,5,1158,0.11320754885673523
9,Acanthostichus_aff.brevicornis_CASENT0744328_processed,2,2263,0.22123374044895172
9,Acromyrmex_coronatus_CASENT0744365_processed,2,2654,0.25945839285850525
9,Solenopsis_invicta_CASENT0744384_processed,2,618,0.060416463762521744
9,Acanthostichus_aff.brevicornis_CASENT0744328_processed,3,2744,0.26825690269470215
9,Acromyrmex_coronatus_CASENT0744365_processed,3,3149,0.3078502118587494
9,Solenopsis_invicta_CASENT0744384_processed,3,818,0.07996871322393417
9,Acanthostichus_aff.brevicornis_CASENT0744328_processed,5,3620,0.35389578342437744
9,Acromyrmex_coronatus_CASENT0744365_processed,5,4055,0.3964219391345978
9,Solenopsis_invicta_CASENT0744384_processed,5,1236,0.12083292752504349
10,Acanthostichus_aff.brevicornis_CASENT0744328_processed,2,2233,0.21830090880393982
10,Acromyrmex_coronatus_CASENT0744365_processed,2,2523,0.24665167927742004
10,Solenopsis_invicta_CASENT0744384_processed,2,606,0.059243325144052505
10,Acanthostichus_aff.brevicornis_CASENT0744328_processed,3,2714,0.26532408595085144
10,Acromyrmex_coronatus_CASENT0744365_processed,3,3063,0.29944276809692383
10,Solenopsis_invicta_CASENT0744384_processed,3,804,0.07860005646944046
10,Acanthostichus_aff.brevicornis_CASENT0744328_processed,5,3615,0.35340696573257446
10,Acromyrmex_coronatus_CASENT0744365_processed,5,4019,0.39290252327919006
10,Solenopsis_invicta_CASENT0744384_processed,5,1223,0.11956202983856201
11,Acanthostichus_aff.brevicornis_CASENT0744328_processed,2,2284,0.2232867330312729
11,Acromyrmex_coronatus_CASENT0744365_processed,2,2384,0.23306286334991455
11,Solenopsis_invicta_CASENT0744384_processed,2,573,0.056017205119132996
11,Acanthostichus_aff.brevicornis_CASENT0744328_processed,3,2809,0.27461138367652893
11,Acromyrmex_coronatus_CASENT0744365_processed,3,2896,0.2831166386604309
11,Solenopsis_invicta_CASENT0744384_processed,3,749,0.07322318851947784
11,Acanthostichus_aff.brevicornis_CASENT0744328_processed,5,3789,0.37041744589805603
11,Acromyrmex_coronatus_CASENT0744365_processed,5,3840,0.3754032552242279
11,Solenopsis_invicta_CASENT0744384_processed,5,1149,0.1123276948928833
12,Acanthostichus_aff.brevicornis_CASENT0744328_processed,2,2291,0.22397105395793915
12,Acromyrmex_coronatus_CASENT0744365_processed,2,2453,0.23980838060379028
12,Solenopsis_invicta_CASENT0744384_processed,2,594,0.058070190250873566
12,Acanthostichus_aff.brevicornis_CASENT0744328_processed,3,2803,0.2740248143672943
12,Acromyrmex_coronatus_CASENT0744365_processed,3,2965,0.28986215591430664
12,Solenopsis_invicta_CASENT0744384_processed,3,782,0.07644931226968765
12,Acanthostichus_aff.brevicornis_CASENT0744328_processed,5,3789,0.37041744589805603
12,Acromyrmex_coronatus_CASENT0744365_processed,5,3881,0.3794114589691162
12,Solenopsis_invicta_CASENT0744384_processed,5,1185,0.11584709584712982
13,Acanthostichus_aff.brevicornis_CASENT0744328_processed,2,2254,0.2203538864850998
13,Acromyrmex_coronatus_CASENT0744365_processed,2,2612,0.2553524374961853
13,Solenopsis_invicta_CASENT0744384_processed,2,618,0.060416463762521744
13,Acanthostichus_aff.brevicornis_CASENT0744328_processed,3,2754,0.2692345380783081
13,Acromyrmex_coronatus_CASENT0744365_processed,3,3085,0.30159351229667664
13,Solenopsis_invicta_CASENT0744384_processed,3,810,0.07918662577867508
13,Acanthostichus_aff.brevicornis_CASENT0744328_processed,5,3688,0.36054354906082153
13,Acromyrmex_coronatus_CASENT0744365_processed,5,3947,0.385863721370697
13,Solenopsis_invicta_CASENT0744384_processed,5,1201,0.11741127818822861
14,Acanthostichus_aff.brevicornis_CASENT0744328_processed,2,2283,0.22318896651268005
14,Acromyrmex_coronatus_CASENT0744365_processed,2,2622,0.25633004307746887
14,Solenopsis_invicta_CASENT0744384_processed,2,625,0.0611007921397686
14,Acanthostichus_aff.brevicornis_CASENT0744328_processed,3,2819,0.2755890190601349
14,Acromyrmex_coronatus_CASENT0744365_processed,3,3084,0.3014957308769226
14,Solenopsis_invicta_CASENT0744384_processed,3,819,0.08006647974252701
14,Acanthostichus_aff.brevicornis_CASENT0744328_processed,5,3826,0.3740346133708954
14,Acromyrmex_coronatus_CASENT0744365_processed,5,3948,0.38596147298812866
14,Solenopsis_invicta_CASENT0744384_processed,5,1206,0.11790008842945099
15,Acanthostichus_aff.brevicornis_CASENT0744328_processed,2,2305,0.22533971071243286
15,Acromyrmex_coronatus_CASENT0744365_processed,2,2677,0.2617069184780121
15,Solenopsis_invicta_CASENT0744384_processed,2,627,0.061296314001083374
