label,source,genus,species,subfamily,ecology,asym_median,log_size,attach_b_a_1,seg_b_a_1,seg_b_a_2,seg_b_a_3,seg_b_a_4,head_wid,head_len,head_hei,mesosoma_wid,mesosoma_len,mesosoma_hei,gaster_wid,gaster_len,gaster_hei,attach_l_1_co,seg_l_1_co,seg_l_1_tr,seg_l_1_fe,attach_l_2_co,seg_l_2_co,seg_l_2_tr,seg_l_2_fe,attach_l_3_co,seg_l_3_co,seg_l_3_tr,seg_l_3_fe,attach_ma,attach_an_1,seg_an_1,seg_an_2,mandible_wid,mandible_len,mandible_hei,leaflen_ma,shapedev_gaster,shapedev_head,shapedev_mesosoma,shapedev_mandible
Formicoxenus_nitidulus_CASENT0745167_processed.obj,worker,formicoxenus,formicoxenus_nitidulus,,,0.05781,-1.36446,0.407690,0.127541,0.284260,0.231666,0.111190,0.209949,0.278913,0.176946,0.159285,0.416393,0.239331,0.453957,0.749453,0.408934,0.081726,0.167728,0.469094,0.151714,0.336644,0.171963,0.519393,0.330037,0.374224,0.149027,0.489498,0.437159,0.176920,0.229687,0.312128,0.401750,0.155656,0.062726,0.376846,0.377224,0.614364,0.200071,0.217965,0.370729
Formicoxenus_nitidulus_CASENT0745168_processed.obj,worker,formicoxenus,formicoxenus_nitidulus,,,0.04250,-1.21619,0.583277,0.086550,0.258215,0.265681,0.278132,0.261607,0.324598,0.215931,0.208694,0.458248,0.221635,0.462767,0.883561,0.246428,0.257061,0.215350,0.385786,0.303738,0.361078,0.170772,0.436953,0.422534,0.528205,0.263027,0.308375,0.378780,0.289415,0.343609,0.320186,0.397416,0.134041,0.119231,0.346225,0.347818,0.404666,0.198589,0.184590,0.417110
Fulakora_armigera_CASENT0744228_processed.obj,worker,fulakora,fulakora_armigera,Amblyoponinae,,0.03983,-1.09177,0.484161,0.043623,0.157093,0.186839,0.408440,0.439924,0.397813,0.312011,0.340677,0.488542,0.322617,0.386039,0.718477,0.313545,0.201633,0.206953,0.528935,0.451850,0.426129,0.175663,0.557274,0.450422,0.479076,0.266206,0.698992,0.268199,0.411406,0.341879,0.542904,0.533562,0.190072,0.182749,0.429250,0.430678,0.331118,0.174428,0.282479,0.406478
Fulakora_armigera_CASENT0744229_processed.obj,worker,fulakora,fulakora_armigera,Amblyoponinae,,0.06433,-1.29007,0.498288,0.055205,0.183878,0.290108,0.267097,0.396603,0.402042,0.267124,0.236337,0.491611,0.225613,0.299031,0.843986,0.336488,0.198858,0.171216,0.313322,0.312801,0.324372,0.080506,0.345132,0.397378,0.430700,0.133238,0.409814,0.423933,0.358939,0.373510,0.251346,0.423331,0.087382,0.120982,0.364368,0.367025,0.234115,0.107323,0.157967,0.289411
Fulakora_elongata_CASENT0744292_processed.obj,worker,fulakora,fulakora_elongata,Amblyoponinae,,0.04450,-1.57254,0.376853,0.054186,0.131575,0.298274,0.248984,0.276955,0.323786,0.193162,0.164731,0.404651,0.160882,0.213522,0.690003,0.198783,0.129411,0.214189,0.238632,0.220095,0.289050,0.084592,0.236338,0.241752,0.355550,0.092792,0.283318,0.272874,0.267722,0.288114,0.236949,0.253286,0.052381,0.082315,0.230874,0.232088,0.229121,0.134705,0.068580,0.273706
Gigantiops_destructor_CASENT0745031_processed.obj,worker,gigantiops,gigantiops_destructor,Formicinae,,0.03592,-1.69168,0.413786,0.027377,0.111520,0.162861,0.131240,0.251396,0.213020,0.141089,0.124560,0.399252,0.129267,0.216179,0.379421,0.188247,0.153818,0.161182,0.263898,0.195377,0.338490,0.099106,0.103714,0.340984,0.391901,0.060007,0.483967,0.437442,0.186440,0.163675,0.278323,0.322764,0.058599,0.079583,0.230832,0.232435,0.168310,0.101342,0.165834,0.296916
Gigantiops_destructor_CASENT0745032_processed.obj,worker,gigantiops,gigantiops_destructor,Formicinae,,0.07925,-1.59308,0.355698,0.053523,0.129306,0.287139,0.084297,0.164589,0.232529,0.138049,0.144010,0.377958,0.178949,0.318876,0.426245,0.258189,0.095234,0.133206,0.344977,0.331500,0.257532,0.062481,0.371294,0.216978,0.403676,0.159556,0.604385,0.141884,0.237466,0.205179,0.215954,0.328267,0.126727,0.084693,0.267245,0.270552,0.333032,0.247935,0.156754,0.446910
Gnamptogenys_aff._continua_CASENT0744149_processed.obj,worker,gnamptogenys,,Ectatomminae,,0.04295,-1.14624,0.413372,0.142325,0.235486,0.465620,0.272030,0.336700,0.364095,0.282137,0.294113,0.443662,0.291039,0.380903,0.816535,0.496197,0.146492,0.180088,0.473137,0.332419,0.298781,0.114567,0.492004,0.394963,0.395820,0.158953,0.495634,0.535192,0.299569,0.320228,0.369085,0.417267,0.139519,0.234285,0.383828,0.390925,0.312207,0.140308,0.237732,0.318487
Gnamptogenys_aff.relicta_CASENT0744357_processed.obj,worker,gnamptogenys,gnamptogenys_relicta,Ectatomminae,,0.10229,-1.25034,0.373988,0.074888,0.147852,0.291959,0.201068,0.324697,0.360649,0.251141,0.258761,0.388164,0.266968,0.374954,0.589162,0.439484,0.151065,0.134963,0.455747,0.322456,0.291348,0.078341,0.497540,0.522643,0.357539,0.087512,0.517046,0.469148,0.325443,0.347350,0.380672,0.562596,0.158880,0.183183,0.441135,0.441553,0.310976,0.153256,0.228576,0.339546
Gnamptogenys_horni_CASENT0744116_processed.obj,worker,gnamptogenys,gnamptogenys_horni,Ectatomminae,,0.13035,-1.22617,0.592453,0.080047,0.167509,0.229419,0.159823,0.401281,0.447959,0.316601,0.333677,0.562843,0.297948,0.318512,0.680371,0.289430,0.210624,0.188569,0.323447,0.157258,0.318150,0.167715,0.647086,0.541163,0.438681,0.142742,0.382795,0.504905,0.402549,0.388551,0.222801,0.488648,0.118170,0.153016,0.309803,0.309252,0.446851,0.149028,0.209526,0.250827
