specimen,leg,pca_vs_cluster,pca_vs_tipdir,cluster_vs_tipdir,n_valid_estimators
synth_000,l1_r,93.2541275024414,106.45907592773438,26.548477172851562,3
synth_000,l2_r,9.634515762329102,5.902458667755127,13.956610679626465,3
synth_000,l3_r,12.36274242401123,4.965660095214844,8.510847091674805,3
synth_000,l1_l,13.696069717407227,5.814093589782715,14.898994445800781,3
synth_000,l2_l,6.501316547393799,10.39865779876709,15.72783374786377,3
synth_000,l3_l,39.96579360961914,14.48021125793457,27.52664566040039,3
synth_001,l1_r,7.082302093505859,39.59272384643555,36.5068473815918,3
synth_001,l2_r,11.254191398620605,11.759662628173828,22.36948013305664,3
synth_001,l3_r,62.88883590698242,69.30021667480469,12.47012710571289,3
synth_001,l1_l,5.992698669433594,22.108585357666016,21.68829345703125,3
synth_001,l2_l,20.80061912536621,4.672063827514648,21.33991241455078,3
synth_001,l3_l,11.104452133178711,10.3942289352417,4.148834705352783,3
synth_002,l1_r,14.689203262329102,18.131750106811523,17.402456283569336,3
synth_002,l2_r,16.44330406188965,0.8543210625648499,15.827921867370605,3
synth_002,l3_r,8.85705280303955,3.858285427093506,5.171346664428711,3
synth_002,l1_l,20.70396614074707,11.233699798583984,18.876605987548828,3
synth_002,l2_l,14.81879711151123,8.45189380645752,19.40016746520996,3
synth_002,l3_l,13.32317066192627,6.041566848754883,18.944677352905273,3
synth_003,l1_r,15.68050765991211,37.4636116027832,21.835847854614258,3
synth_003,l2_r,16.64741325378418,17.196229934692383,28.497148513793945,3
synth_003,l3_r,15.514616012573242,7.56395149230957,23.06956672668457,3
synth_003,l1_l,2.105149030685425,19.45656394958496,20.986371994018555,3
synth_003,l2_l,50.32123947143555,58.72826385498047,14.5635347366333,3
synth_003,l3_l,21.49747085571289,16.402175903320312,23.969179153442383,3
synth_004,l1_r,26.680580139160156,12.116371154785156,33.841793060302734,3
synth_004,l2_r,5.157726764678955,14.40550422668457,11.290898323059082,3
synth_004,l3_r,6.335740089416504,4.842419147491455,11.128841400146484,3
synth_004,l1_l,12.612852096557617,9.270505905151367,9.669793128967285,3
synth_004,l2_l,9.630760192871094,8.1067533493042,17.161413192749023,3
synth_004,l3_l,7.5502142906188965,2.769514799118042,5.766567707061768,3
synth_005,l1_r,49.23143005371094,104.89674377441406,55.71467208862305,3
synth_005,l2_r,10.114974021911621,8.338706970214844,18.21440887451172,3
synth_005,l3_r,3.837369441986084,10.912227630615234,9.090596199035645,3
synth_005,l1_l,2.704939365386963,30.6564884185791,28.80796241760254,3
synth_005,l2_l,10.766256332397461,6.889256954193115,15.867939949035645,3
synth_005,l3_l,104.78077697753906,130.3480224609375,25.586387634277344,3
synth_006,l1_r,5.862973690032959,4.866631984710693,10.70987606048584,3
synth_006,l2_r,9.690144538879395,6.6374053955078125,16.161354064941406,3
synth_006,l3_r,8.03550910949707,8.056346893310547,14.313685417175293,3
synth_006,l1_l,9.001193046569824,4.34766960144043,13.290824890136719,3
synth_006,l2_l,6.249118804931641,8.584281921386719,14.575590133666992,3
synth_006,l3_l,16.85791778564453,2.9149723052978516,18.270408630371094,3
synth_007,l1_r,16.83266258239746,4.794811725616455,14.317455291748047,3
synth_007,l2_r,74.54363250732422,148.28744506835938,73.7439956665039,3
synth_007,l3_r,8.555451393127441,9.82084846496582,6.590439319610596,3
synth_007,l1_l,1.8245623111724854,4.921791076660156,4.923462867736816,3
synth_007,l2_l,8.129317283630371,8.5799560546875,15.8607816696167,3
synth_007,l3_l,4.497624397277832,6.738746643066406,9.647688865661621,3
synth_008,l1_r,5.388306617736816,24.09119415283203,24.3929443359375,3
synth_008,l2_r,6.648387432098389,17.547151565551758,20.311988830566406,3
synth_008,l3_r,85.72425079345703,92.87749481201172,13.580781936645508,3
synth_008,l1_l,55.2786979675293,28.262733459472656,27.124988555908203,3
synth_008,l2_l,6.484101295471191,8.519219398498535,12.099390029907227,3
synth_008,l3_l,8.782973289489746,4.783685684204102,12.907448768615723,3
synth_009,l1_r,45.0750617980957,104.82905578613281,60.049644470214844,3
synth_009,l2_r,146.0417022705078,86.9744873046875,122.69235229492188,3
synth_009,l3_r,3.939399480819702,0.7428314685821533,4.330878734588623,3
synth_009,l1_l,4.495490074157715,1.9653303623199463,6.460470199584961,3
synth_009,l2_l,8.148446083068848,8.986708641052246,16.700937271118164,3
synth_009,l3_l,34.213871002197266,26.58167266845703,11.04676342010498,3
synth_010,l1_r,14.379921913146973,13.53838062286377,27.872392654418945,3
synth_010,l2_r,28.867029190063477,32.203887939453125,26.26529884338379,3
synth_010,l3_r,15.650404930114746,14.276216506958008,26.196136474609375,3
synth_010,l1_l,4.202582359313965,10.555233001708984,11.379650115966797,3
synth_010,l2_l,52.22796630859375,69.27178955078125,28.481977462768555,3
synth_010,l3_l,10.35850715637207,5.100311279296875,8.526224136352539,3
synth_011,l1_r,8.776261329650879,17.76348304748535,17.919788360595703,3
synth_011,l2_r,0.8137322068214417,14.620983123779297,14.734146118164062,3
synth_011,l3_r,8.397723197937012,7.759496212005615,15.950950622558594,3
synth_011,l1_l,9.36334228515625,31.333486557006836,39.29369354248047,3
synth_011,l2_l,12.075939178466797,10.676562309265137,21.67360496520996,3
synth_011,l3_l,6.258774280548096,2.7515037059783936,8.863460540771484,3
