name,radial_med,radial_p90,yaw_deg,in_bench50,keep_top50,keep_top25
Leptogenys_peuqueti_CASENT0741327_processed.obj,0.0754050044579043,0.1050179879966477,0.0006446764359031,False,True,True
Neivamyrmex_nigrescens_CASENT0741290_processed.obj,0.0897697185479138,0.1409322773851745,0.3685243015933369,False,True,True
Pseudomyrmex_gracilis_CASENT0709535_processed.obj,0.0987046450444759,0.1353541379983436,0.4666069791525347,False,True,True
Orectognathus_versicolor_CASENT0741227_processed.obj,0.0991530520265917,0.1506353818913685,3.893754962040196,False,True,True
Sphinctomyrmex_stali_CASENT0790135_processed.obj,0.1050417292396814,0.1347900992515585,0.6976838609097706,False,True,True
Pseudomyrmex_triplarinus_CASENT0741218_processed.obj,0.1054621752098521,0.1426359853692783,0.296977663963572,False,True,True
Strumigenys_aff.trudifera_CASENT0744341_processed.obj,0.1073931443491768,0.3127647389601226,0.3570580205326049,False,True,True
Odontomachus_hastatus_CASENT0745036_processed.obj,0.1078141836956053,0.2001342915030384,0.0817265639386221,False,True,True
Stigmatomma_sp._CASENT0745539_processed.obj,0.1097336962252345,0.1664498966791406,1.0977893087394743,False,True,True
Odontomachus_brunneus_CASENT0744576_processed.obj,0.1121182728573466,0.2026496536087982,1.3143254963885165,False,True,True
Aenictus_lifuiae_OKENT0105003_processed.obj,0.1143638951189795,0.1997938572541914,0.6065496475323253,False,True,True
Neivamyrmex_cf.hetschkoi_CASENT0744509_processed.obj,0.1234566118525046,0.2851643875130953,0.34378170073397,False,True,True
Gigantiops_destructor_CASENT0745031_processed.obj,0.1278263796659463,0.2259792714966392,0.5044301648886548,False,True,True
Odontomachus_sp._CASENT0744608_processed.obj,0.1288995745803899,0.2408212760694338,0.0018879459719594,False,True,True
Prionopelta_antillana_CASENT0744466_processed.obj,0.1310168856357345,0.2222629719266806,0.1473200765999771,False,True,True
Leptogenys_gaigei_CASENT0878112_processed.obj,0.1323636560481167,0.3496558931719976,0.1354455616177049,False,True,True
Eciton_hamatum_CASENT0744582_processed.obj,0.1330004029710038,0.2620613471890338,7.488056644742892,False,True,True
Tetramorium_immigrans_CASENT0741336_processed.obj,0.1334512805356546,0.1756262562757057,0.290784917343629,False,True,True
Dorymyrmex_sp.1_insanus_group_CASENT0741329_processed.obj,0.1337920184946646,0.2200088132991882,0.1480189330113419,False,True,True
Dorylus_nigricans_molestus_CASENT0744683_processed.obj,0.1346233058888154,0.3242121579643385,1.4924596657683276,False,True,True
Odontomachus_hastatus_CASENT0745037_processed.obj,0.1367740736159521,0.2234472428175277,0.2688243552737472,False,True,True
Lasius_orientalis_OKENT0105323_processed.obj,0.1367796271913206,0.2822444254290104,4.836820068331876,False,True,True
Ponera_tamon_OKENT0105154_processed.obj,0.1368469801594105,0.2537928171528243,0.2268652037691317,True,True,True
Zasphinctus_sarowiwai_CASENT0254678_processed.obj,0.1368840188837169,0.2171914543113838,0.3396327501715766,False,True,True
Paratrechina_longicornis_CASENT0877617_processed.obj,0.1377813126582935,0.2671419428176678,1.1769538277147915,False,True,True
Probolomyrmex_sp._CASENT0744993_processed.obj,0.1388216295250191,0.2459446258991073,0.0762603585807379,False,True,True
Mycetophylax_morschi_CASENT0745099_processed.obj,0.1393942303998369,0.2493281564713836,0.2739684692367843,False,True,True
Strumigenys_aff.trudifera_CASENT0744220_processed.obj,0.139557466666462,0.3220336702506639,2.1862796565603064,False,True,True
Aphaenogaster_gonacantha_CASENT0745599_processed.obj,0.1400165529749997,0.2479681075946045,0.2000193789123056,False,True,True
Strumigenys_hispida_OKENT0105261_processed.obj,0.1407832645951599,0.2532357458863013,2.0603726500461828,False,True,True
Megaponera_analis_CASENT0744961_processed.obj,0.1422958578374225,0.2531053585289416,0.7234691066497427,False,True,True
Strumigenys_sp._CASENT0744896_processed.obj,0.1424183916354711,0.2621826185419748,0.5188767687428653,False,True,True
Pheidole_sp._CASENT0744854_processed.obj,0.1430422088482573,0.2961997500478877,1.368466956844503,False,True,True
Messor_decipiens_CASENT0744827_processed.obj,0.1437285156333447,0.2175542557481351,0.7097111785853608,False,True,True
Fulakora_elongata_CASENT0744292_processed.obj,0.1437594466374157,0.2765159029123967,1.269277864798692,False,True,True
Neivamyrmex_cf.hetschkoi_CASENT0744507_processed.obj,0.1439808657533595,0.2890389963539245,3.630199304833264,False,True,True
Neoponera_verenae_CASENT0745073_processed.obj,0.1444472767494304,0.2539676841494755,0.2065677378558053,False,True,True
Ponera_tamon_OKENT0105153_processed.obj,0.1453851957377564,0.2985437645509525,4.363345911972764,False,True,True
Strumigenys_denticulata_CASENT0744012_processed.obj,0.1464817843918344,0.2967818889452014,1.546363328848072,False,True,True
Pheidole_afrc-063_CASENT0744859_processed.obj,0.1477018523285135,0.3461960978664753,3.700549008294661,False,True,True
Apomyrma_stygia_CASENT0744662_processed.obj,0.1477695122667103,0.2558199014016198,0.2616655788750515,False,True,True
Gigantiops_destructor_CASENT0745032_processed.obj,0.1481900362393615,0.2712747081855721,0.3001065146955193,False,True,True
Trichomyrmex_destructor_OKENT0105257_processed.obj,0.1489194850981937,0.303316326138634,0.3546502112843702,False,True,True
Myrmoteras_sp._CASENT0745082_processed.obj,0.1490722797581648,0.3163178731450334,0.2343906077878465,False,True,True
Strumigenys_stenorhina_OKENT0105267_processed.obj,0.1497960810178647,0.3863121030363373,0.1963587442617491,False,True,True
Cephalotes_pallens_CASENT0744464_processed.obj,0.150516649212754,0.2572034014181613,1.0002756609375558,False,True,True
Strumigenys_denticulata_CASENT0878101_processed.obj,0.1510757613487671,0.2860684540863704,0.2572708695955402,False,True,True
Apomyrma_stygia_CASENT0744661_processed.obj,0.1513915104851134,0.2911895763696009,0.0822254013487813,False,True,True
Aphaenogaster_gonacantha_CASENT0745600_processed.obj,0.151431131737055,0.2822679827576253,6.426653826652266,False,True,True
Neivamyrmex_cf.hetschkoi_CASENT0744510_processed.obj,0.1515191666637017,0.2866961305640408,0.6365883188295545,False,True,True
Carebara_affinis_CASENT0741335_processed.obj,0.1522869320015958,0.2650238467960963,1.016101751551158,False,True,True
Myrmoteras_sp._CASENT0745623_processed.obj,0.152963231285288,0.3328229337220079,0.5291665667847553,False,True,True
Dorylus_afrc-gh01_CASENT0744686_processed.obj,0.1534531403543403,0.2473822518537555,0.131240486091192,False,True,True
Camponotus_fulvopilosus_CASENT0744733_processed.obj,0.1550781822536936,0.2876389641096019,0.1423258976473346,False,True,True
