name,radial_med,radial_p90,yaw_deg,in_bench50
Leptogenys_peuqueti_CASENT0741327_processed.obj,0.07540500445790432,0.10501798799664774,0.0006446764359031976,False
Neivamyrmex_nigrescens_CASENT0741290_processed.obj,0.08976971854791388,0.14093227738517453,0.36852430159333693,False
Pseudomyrmex_gracilis_CASENT0709535_processed.obj,0.09870464504447593,0.13535413799834367,0.46660697915253474,False
Orectognathus_versicolor_CASENT0741227_processed.obj,0.09915305202659172,0.15063538189136855,3.8937549620401963,False
Sphinctomyrmex_stali_CASENT0790135_processed.obj,0.10504172923968147,0.13479009925155858,0.6976838609097706,False
Pseudomyrmex_triplarinus_CASENT0741218_processed.obj,0.10546217520985215,0.14263598536927832,0.29697766396357206,False
Strumigenys_aff.trudifera_CASENT0744341_processed.obj,0.10739314434917682,0.3127647389601226,0.3570580205326049,False
Odontomachus_hastatus_CASENT0745036_processed.obj,0.10781418369560533,0.20013429150303846,0.08172656393862213,False
Stigmatomma_sp._CASENT0745539_processed.obj,0.10973369622523459,0.16644989667914065,1.0977893087394743,False
Odontomachus_brunneus_CASENT0744576_processed.obj,0.11211827285734668,0.20264965360879822,1.3143254963885163,False
Aenictus_lifuiae_OKENT0105003_processed.obj,0.11436389511897957,0.19979385725419146,0.6065496475323253,False
Neivamyrmex_cf.hetschkoi_CASENT0744509_processed.obj,0.12345661185250464,0.28516438751309536,0.34378170073397,False
Gigantiops_destructor_CASENT0745031_processed.obj,0.1278263796659463,0.22597927149663927,0.5044301648886548,False
Odontomachus_sp._CASENT0744608_processed.obj,0.1288995745803899,0.24082127606943385,0.0018879459719594878,False
Prionopelta_antillana_CASENT0744466_processed.obj,0.1310168856357345,0.22226297192668062,0.14732007659997717,False
Leptogenys_gaigei_CASENT0878112_processed.obj,0.13236365604811673,0.3496558931719976,0.13544556161770496,False
Eciton_hamatum_CASENT0744582_processed.obj,0.1330004029710038,0.2620613471890338,7.488056644742892,False
Tetramorium_immigrans_CASENT0741336_processed.obj,0.1334512805356546,0.17562625627570572,0.29078491734362905,False
Dorymyrmex_sp.1_insanus_group_CASENT0741329_processed.obj,0.1337920184946646,0.2200088132991882,0.14801893301134197,False
Dorylus_nigricans_molestus_CASENT0744683_processed.obj,0.1346233058888154,0.32421215796433855,1.4924596657683276,False
Odontomachus_hastatus_CASENT0745037_processed.obj,0.13677407361595212,0.2234472428175277,0.26882435527374726,False
Lasius_orientalis_OKENT0105323_processed.obj,0.13677962719132064,0.28224442542901046,4.836820068331876,False
Ponera_tamon_OKENT0105154_processed.obj,0.13684698015941052,0.25379281715282437,0.22686520376913172,True
Zasphinctus_sarowiwai_CASENT0254678_processed.obj,0.13688401888371693,0.21719145431138387,0.3396327501715766,False
Paratrechina_longicornis_CASENT0877617_processed.obj,0.13778131265829352,0.26714194281766784,1.1769538277147917,False
Probolomyrmex_sp._CASENT0744993_processed.obj,0.1388216295250191,0.24594462589910734,0.07626035858073797,False
Mycetophylax_morschi_CASENT0745099_processed.obj,0.1393942303998369,0.2493281564713836,0.2739684692367843,False
Strumigenys_aff.trudifera_CASENT0744220_processed.obj,0.13955746666646207,0.3220336702506639,2.1862796565603064,False
Aphaenogaster_gonacantha_CASENT0745599_processed.obj,0.14001655297499976,0.24796810759460453,0.20001937891230565,False
Strumigenys_hispida_OKENT0105261_processed.obj,0.14078326459515994,0.2532357458863013,2.0603726500461828,False
Megaponera_analis_CASENT0744961_processed.obj,0.14229585783742257,0.2531053585289416,0.7234691066497427,False
Strumigenys_sp._CASENT0744896_processed.obj,0.1424183916354711,0.2621826185419748,0.5188767687428653,False
Pheidole_sp._CASENT0744854_processed.obj,0.14304220884825736,0.29619975004788773,1.368466956844503,False
Messor_decipiens_CASENT0744827_processed.obj,0.14372851563334477,0.21755425574813514,0.7097111785853608,False
Fulakora_elongata_CASENT0744292_processed.obj,0.14375944663741574,0.2765159029123967,1.269277864798692,False
