arm,metric,control,arm_val,rel,wins,n,p
A1_offset,chamfer_l2,0.0024823476630262483,0.002465278755407738,-0.6876114843166331,28,50,0.47988766169832786
A1_offset,fscore@0.01,0.2726381371170282,0.2720649614930153,-0.2102331060767186,25,50,1.0
A1_offset,fscore@0.02,0.5616250535845757,0.5615151771903037,-0.019564012248113702,28,50,0.47988766169832786
A1_offset,hausdorff_95,0.07721978776156899,0.07676259450614449,-0.5920674851247292,30,50,0.20263875106454066
A1_offset,normal_consistency,0.6894034993648529,0.6872583627700806,-0.3111583559911628,24,50,0.887724827340783
A1_offset,edge_logratio_absmean,0.0,1.1656332149501124e-13,11.656332149501123,0,50,1.7763568394002505e-15
A1_offset,tri_quality_mean,0.7295354247093201,0.7286373913288117,-0.12309661054019536,20,50,0.20263875106454066
A1_offset,deform_mag_mean,0.0,0.0,0.0,0,50,1.7763568394002505e-15
A1_offset,deform_mag_p95,0.0,0.0,0.0,0,50,1.7763568394002505e-15
A1_offset,midline_dev_mean,0.031235918123274996,0.03129901592619712,0.20200399639633526,20,50,0.20263875106454066
A1_offset,part_leg_distal_dist_mean,0.04610030675306911,0.045148859247565225,-2.0638637191278604,22,50,0.47988766169832786
A1_offset,chamfer_l2,0.00040320283180330394,0.0011140154453459581,176.29157230882174,0,50,1.7763568394002505e-15
A1_offset,fscore@0.01,0.6615910685062408,0.37856068775057794,-42.780260228462446,0,50,1.7763568394002505e-15
A1_offset,fscore@0.02,0.9228403961658478,0.713573357462883,-22.67640640485462,0,50,1.7763568394002505e-15
A1_offset,hausdorff_95,0.03177629409357901,0.05426050927489991,70.75782693349592,0,50,1.7763568394002505e-15
A1_offset,normal_consistency,0.7847785115242004,0.7040368163585663,-10.28846916421225,0,50,1.7763568394002505e-15
A1_offset,edge_logratio_absmean,0.585228705406189,0.20146972090005874,-65.57419022006437,50,50,1.7763568394002505e-15
A1_offset,tri_quality_mean,0.6461913955211639,0.7222220766544342,11.765969287138624,50,50,1.7763568394002505e-15
A1_offset,deform_mag_mean,0.05210933651775118,0.005831112246960349,-88.80985129054164,50,50,1.7763568394002505e-15
