name,n_verts,n_faces,n_components,frac_area_offmain,frac_boundary_edges,frac_nonmanifold_edges,frac_degenerate_tri,frac_dup_verts,yaw_deg,pitch_deg,pca_ev1,pca_ev2,pca_ev3,elongation,flatness,area_norm,area_over_vol23,limb_area_frac,radial_p95_over_med,speckle_frac,clump_frac,spacing_cv
01.obj,12054,10878,1465,0.9532637101409162,0.4903548133413517,0.0,0.0,0.5647917703666833,0.7003511602434158,2.979793301267089,0.6196270234377894,0.33883552992689236,0.0415374466353183,1.8286955431488576,8.15735095374853,1.522677873714284,,0.22805,3.950786613901306,0.0,0.0,0.18247427752743173
02.obj,25540,28436,2392,0.950723579005073,0.3560154940163034,0.0,0.0,0.45007830853563036,0.7776551209617455,6.559021850724175,0.6115003445853346,0.3210049581985431,0.06749469721612229,1.9049560730059465,4.756002640780281,1.9480006431193018,,0.2767,3.6706355835215847,0.0,0.0,0.18878415360572764
03.obj,29073,38538,1625,0.9431998044530201,0.25282596868766244,0.0,0.0,0.3405909262889967,0.041312445175822526,6.332304306291084,0.6706308121474505,0.28182119228354474,0.04754799556900472,2.3796323005855364,5.927088805973906,1.5994709322229361,,0.2803,3.5553524314292737,0.0,0.0,0.1798876476333934
04.obj,11128,10611,1129,0.9553068244042549,0.46802059771885074,0.0,0.0002827254735651682,0.534058231488138,4.8333757617404025,7.592886135497496,0.6428091547546623,0.3080838417759223,0.0491070034694154,2.086474743528402,6.27372513103557,1.5657988075702558,,0.2363,3.437882669411696,0.0,0.0,0.18181858919520405
05.obj,11795,10132,1567,0.9462670410049584,0.5188578111295196,0.0,0.0,0.587452310300975,5.353270428820751,3.7484145251447245,0.5979190790462768,0.3598808125378853,0.042200108415837836,1.661436392870578,8.527959430616555,1.7088196981021537,,0.2607,3.592628843613772,0.0,0.0,0.18143419854870885
06.obj,13748,12098,1728,0.9619812001577008,0.504327041951702,0.0,0.0,0.5736834448647076,6.2934391932999745,7.619356420236442,0.6445797333551574,0.31146905890912635,0.043951207735716306,2.0694823929307815,7.08670079743942,1.5114716291913066,,0.23635,3.245706647739404,0.0,0.0,0.18368022977408763
07.obj,22657,23614,1988,0.937589305687685,0.4109730384460096,0.0,0.0,0.48885554133380416,1.3199899752189281,2.2844915826580436,0.5995347242881575,0.34883212886234277,0.05163314684949978,1.7186912405214478,6.755972667695776,1.5802946466222754,,0.27945,3.7828939868031095,5e-05,0.0,0.18201257599106677
08.obj,15246,13240,1994,0.9615606390130622,0.5163049568562997,0.0,0.0,0.5842844024662206,0.08799094296624971,1.382536781927719,0.6233256274335371,0.32514985829584164,0.05152451427062118,1.917041055162929,6.310585609561762,1.4655174592609939,,0.28845,3.249905834820757,5e-05,0.0,0.18650921557546
09.obj,15585,13977,1964,0.9539381827043559,0.4916906474820144,0.0,0.0,0.5690728264356752,1.485515490070331,3.6951405658407728,0.6478425214687922,0.29038393373372934,0.06177354479747847,2.230986105666708,4.700781454030828,1.4657804333003952,,0.26505,3.2851714865291735,0.00015,0.0,0.19020065738966757
10.obj,16532,15644,2125,0.9450550996382024,0.44765653425065327,0.0,0.0,0.5428260343576095,11.756634042704826,0.22390264929219184,0.6224607397071301,0.34447694988477956,0.03306231040809023,1.806973557781821,10.419022313712452,1.0712023941927111,,0.27235,3.7802360393554046,0.0,0.0,0.18865854193256484
11.obj,10710,11345,883,0.9433714793088619,0.3998589562764457,0.0,0.0,0.4726423902894491,9.921837407199781,4.9401335888168125,0.6554383581783372,0.2994277399205129,0.04513390190115004,2.1889700611985115,6.634209038170558,1.056348285899111,,0.2642,3.7761177465661837,0.0,0.0,0.1817212265377541
12.obj,12648,13434,855,0.9329886455577009,0.40911064619271303,0.0,0.0,0.46979759645793806,4.439796262334306,7.464899387154817,0.6406079533898056,0.3179806692058589,0.04141137740433537,2.014612885084155,7.678582291555687,0.9518424794379661,,0.27755,3.4897194653977777,0.0,0.0,0.17401806450639926
13.obj,12735,14354,752,0.9374864294429458,0.3712697151934642,0.0,0.0,0.4367491166077738,4.2404590880942195,7.243340670912601,0.5433500889254388,0.41166512562157626,0.04498478545298508,1.3198836994147376,9.151207935665706,1.2455689670158456,,0.28085,3.929735554837365,0.0,0.0,0.17633903419798005
14.obj,11189,11278,892,0.9457804427294169,0.437589471253752,0.0,0.0,0.49673786754848515,0.01108971969555529,3.513123085686927,0.6719906991529423,0.27310069895477057,0.05490860189228723,2.4605967751998823,4.97373252173685,1.375945147832424,,0.2323,3.256205296559431,5e-05,0.0,0.18125440642179502
15.obj,12328,13804,761,0.928843232959646,0.37223379584135846,0.0,0.0,0.4398929266709929,2.664445471061708,3.562066042082647,0.6461319554274867,0.305995416145638,0.04787262842687531,2.111573969199464,6.39186579473156,1.5115492504253172,,0.24385,3.4461011318608894,0.0,0.0,0.17854884756085954
16.obj,12118,12354,973,0.950854138468659,0.42957627118644065,0.0,0.0,0.4912526819607196,3.9829826410367826,3.5337377307635585,0.608308060797382,0.3397125157921287,0.051979423410489264,1.790655429279526,6.535519124738423,1.4184453692878403,,0.26565,3.645409906339196,0.0,0.0,0.17921473859442197
17.obj,11991,11858,1076,0.9473797569642977,0.4449204406364749,0.0,0.0,0.5068801601200901,5.384806264777928,6.032347868477439,0.6427575586624125,0.30214307425919384,0.05509936707839363,2.12732845271516,5.483603356628658,1.5113446434921458,,0.21795,3.262276820854418,0.0,0.0,0.17735235682630207
18.obj,11531,13144,746,0.9418364523237972,0.3581629678977391,0.0,0.0,0.43075188621975546,1.6920487029578326,5.3696466967660195,0.6721941378069078,0.27833335150269367,0.04947251069039839,2.4150686009340943,5.6260203417715875,1.3725807420139202,,0.234,3.2836431937328032,0.0,0.0,0.17598992872895233
19.obj,11447,11362,1024,0.9478326130869742,0.4442010132822128,0.0,0.0,0.5059841006377217,1.7431932678716886,0.3849312559620422,0.6393215417611581,0.3095282826372948,0.05115017560154711,2.065470516341523,6.051363050021136,1.5656860449502013,,0.23415,3.235825548263844,0.0,0.0,0.18094611809580516
20.obj,17992,16845,2025,0.9548687069555589,0.4723397823458283,0.0,0.0,0.5473543797243219,4.375236571216498,3.610162614286359,0.620946869143056,0.31531728230809475,0.06373584854884934,1.9692763574447285,4.947251656442995,1.7117769020263667,,0.23575,3.231150946339214,5e-05,0.0,0.17944334870180065
acanthomyrmex.obj,23014,50480,3749,0.8738092212640677,0.03581116256130641,0.0904320903087925,0.0,0.0,1.2190576880369928,6.410593996575849,0.6966661413083015,0.23603615243685855,0.06729770625483987,2.9515230362631204,3.5073432004212397,2.873233263458887,,0.26545,3.341812881376209,0.0,0.0,0.20740459977357392
acanthostichus.obj,28879,62878,4375,0.7814841736295544,0.035052359461946285,0.08654646628401175,0.0,0.0,0.022009059993379394,0.7841558555943217,0.8293417148720034,0.1428277877718795,0.027830497356117093,5.806585173724069,5.132060198000241,2.2561247948761514,,0.17375,3.185320004977946,0.0,0.0,0.20399198021858475
acromyrmex.obj,18667,41934,3834,0.8323697902849403,0.043747091283824216,0.11078053320922811,0.0,0.0,0.42809426507103693,1.2908861660483613,0.6952683768188032,0.24291461634581465,0.06181700683538216,2.862192433200541,3.9295758365119964,1.6709311257836421,,0.24965,3.4353367816090823,0.0,0.0,0.2154932133768836
aenictus-binghamii.obj,13594,30399,2941,0.8627037225620975,0.03844561016013252,0.11255291735689306,0.0,0.0,0.36728232089891,3.4841611476774355,0.7421940252703889,0.22272265561552312,0.03508331911408797,3.3323687849322687,6.348391806694457,1.7070231034127314,,0.2702,3.7710717897192687,0.0,0.0,0.21235137734459647
amblyopone.obj,23984,52491,3914,0.8153452541159243,0.03807420262417501,0.09184612552917357,0.0,0.0,0.8414480148010147,0.715063984986263,0.7691493897719904,0.1947516631671802,0.03609894706082923,3.949385475140879,5.394940269005912,2.687704239119126,,0.2149,3.3646707898101873,0.0,0.0,0.2112834517557453
