name,n_verts,n_faces,n_components,frac_area_offmain,frac_boundary_edges,frac_nonmanifold_edges,frac_degenerate_tri,frac_dup_verts,yaw_deg,pitch_deg,pca_ev1,pca_ev2,pca_ev3,elongation,flatness,area_norm,area_over_vol23,limb_area_frac,radial_p95_over_med,speckle_frac,clump_frac,spacing_cv
Acanthomyrmex_cf.ferox_CASENT0878066_processed.obj,49707,95553,1903,0.013712359809743058,0.05146902021751543,0.020396370615468222,0.0,0.0,0.03157619941278845,0.05872015967904922,0.5694355453857332,0.22490558621617882,0.20565886839808795,2.5318870685514803,1.0935856448496817,4.816522786194628,,0.12555,2.3094705965395943,0.0,0.0,0.18196863733336532
Acanthomyrmex_cf.ferox_CASENT0878067_processed.obj,48979,88863,6286,0.030340826812447652,0.17562514437514437,0.08234436359436359,0.0,0.0,0.21666265785196018,1.0542615209621589,0.6800213149177904,0.17233544440732454,0.14764324067488513,3.945916739626247,1.1672423581301117,8.16920244632929,,0.0133,1.7287077664516082,0.0,0.0,0.21339178383118745
Acanthostichus_aff.brevicornis_CASENT0744325_processed.obj,47741,79117,2131,0.015482394935741217,0.1519636369355625,0.018032116512794703,0.0,0.0,0.10887251928301385,12.310783432599887,0.5816491751302926,0.22977912039118328,0.18857170447852417,2.531340420052416,1.2185238555626043,8.069593797019667,,0.0445,1.9649510798939358,0.0,0.0,0.19145032940394505
Acanthostichus_aff.brevicornis_CASENT0744327_processed.obj,49229,93394,582,0.22042216589200636,0.04134756195828107,0.004442357953152042,0.0,0.0,0.38958105640540197,0.38055568824298047,0.8158963756983736,0.11002312777423906,0.07408049652738737,7.415680613739182,1.4851834549133158,2.273378098249114,,0.0698,2.1674441273730207,0.0,0.0,0.18353489683242535
Acanthostichus_aff.brevicornis_CASENT0744328_processed.obj,49249,93728,621,0.0031636433746887738,0.04151647246206723,0.005672450889987984,0.0,0.0,0.14056197651573263,0.30357321091171435,0.8307327158831835,0.1007857999421399,0.0684814841746766,8.242557149520058,1.4717233593399388,2.5397780560539114,,0.06605,2.1844733416034505,0.0,0.0,0.1827329482072145
Acanthostichus_brevicornis_CASENT0744297_processed.obj,48654,91593,5156,0.012432314936106414,0.12892474259632736,0.06858436825531614,0.0,0.0,1.6387129476754694,12.76696968546527,0.6155398094245789,0.24340716488157166,0.14105302569384945,2.528848358773934,1.725642989111614,3.9299588915652266,,0.02845,1.8612621683935235,0.0,0.0,0.18589684442168725
Acanthostichus_brevicornis_CASENT0744298_processed.obj,48912,96387,7740,0.015441529061273829,0.13294216605461298,0.10141627173816412,0.0,0.0,0.237791965400013,0.03642958075820503,0.6800937131352872,0.2163844016249445,0.10352188523976827,3.142988625927309,2.090228564943287,4.081948671142244,,0.0562,2.0310727456033946,0.0,0.0,0.18317353262289635
Acromyrmex_balzani_CASENT0744618_processed.obj,48159,87094,6125,0.013598834072779176,0.1707803686561581,0.08276059354668348,0.0,0.0,13.301052484282364,24.519818786289605,0.468876192987138,0.2726252981230944,0.2584985088897678,1.7198557735292541,1.0546494031783786,4.82362428305156,,0.0456,1.981507878550527,5e-05,0.0,0.19091521449804433
Acromyrmex_cf.coronatus_CASENT0744044_processed.obj,49197,102287,6972,0.03323043788190705,0.06529658667933792,0.07768406325070616,0.0,0.0,75.02541302524678,9.232947513877749,0.5374673867895864,0.3340679393800871,0.12846467383032656,1.6088565331559121,2.60046539970449,3.545022425890155,,0.0159,1.8000102705740544,5e-05,0.0,0.1864190924134542
Acromyrmex_coronatus_CASENT0744364_processed.obj,48582,90704,5396,0.01437587445991484,0.15050003546350804,0.07627491311440528,0.0,0.0,53.19396457158365,26.130312213053212,0.48853316445127626,0.31036654578259915,0.20110028976612454,1.5740522652640423,1.543342111259755,4.12436049053049,,0.0084,1.7247063845834807,0.00015,0.0,0.19437255629116731
