arm                      when   metric                       wins/n         p  P(verdict flips)  P(sig flips dir)
A3b_priors_tuned         final  fscore@0.01                  27/50   6.72e-01             0.000             0.000
A3b_priors_tuned         final  fscore@0.02                  26/50   8.88e-01             0.004             0.003
A3b_priors_tuned         final  hausdorff_95                 29/50   3.22e-01             0.000             0.000
A3b_priors_tuned         final  normal_consistency           26/50   8.88e-01             0.000             0.000
A3b_priors_tuned         final  part_leg_distal_dist_mean    21/50   3.22e-01             0.000             0.000
A3b_priors_tuned         final  edge_logratio_absmean        46/50   4.46e-10   0.000 (determ.)                 -
A3b_priors_tuned         final  tri_quality_mean             14/50   2.60e-03   0.000 (determ.)                 -
A3b_priors_tuned         final  deform_mag_mean              18/50   6.49e-02   0.000 (determ.)                 -
A3b_priors_tuned         final  deform_mag_p95               15/50   6.60e-03   0.000 (determ.)                 -
A3b_priors_tuned         final  midline_dev_mean             21/50   3.22e-01   0.000 (determ.)                 -
A4_nofreeze              pose   chamfer_l2                   28/50   4.80e-01             0.013             0.000
A4_nofreeze              pose   fscore@0.01                  23/50   6.72e-01             0.001             0.000
A4_nofreeze              pose   fscore@0.02                  30/50   2.03e-01             0.044             0.001
A4_nofreeze              pose   hausdorff_95                 23/50   6.72e-01             0.000             0.000
A4_nofreeze              pose   normal_consistency           25/50   1.00e+00             0.001             0.000
A4_nofreeze              pose   part_leg_distal_dist_mean    17/50   3.28e-02             0.193             0.000
A4_nofreeze              pose   edge_logratio_absmean         0/50   1.78e-15   0.000 (determ.)                 -
A4_nofreeze              pose   tri_quality_mean             27/50   6.72e-01   0.000 (determ.)                 -
A4_nofreeze              pose   deform_mag_mean               0/50   1.78e-15   0.000 (determ.)                 -
A4_nofreeze              pose   deform_mag_p95                0/50   1.78e-15   0.000 (determ.)                 -
A4_nofreeze              pose   midline_dev_mean             23/50   6.72e-01   0.000 (determ.)                 -
A4_nofreeze              final  chamfer_l2                   35/50   6.60e-03             0.524             0.504
A4_nofreeze              final  fscore@0.01                  35/50   6.60e-03             0.601             0.000
A4_nofreeze              final  fscore@0.02                  39/50   9.02e-05             0.880             0.000
A4_nofreeze              final  hausdorff_95                 34/50   1.53e-02             0.081             0.000
A4_nofreeze              final  normal_consistency           40/50   2.39e-05             0.000             0.000
A4_nofreeze              final  part_leg_distal_dist_mean    27/50   6.72e-01             0.001             0.000
A4_nofreeze              final  edge_logratio_absmean        39/50   9.02e-05   0.000 (determ.)                 -
A4_nofreeze              final  tri_quality_mean             40/50   2.39e-05   0.000 (determ.)                 -
A4_nofreeze              final  deform_mag_mean              50/50   1.78e-15   0.000 (determ.)                 -
A4_nofreeze              final  deform_mag_p95               50/50   1.78e-15   0.000 (determ.)                 -
A4_nofreeze              final  midline_dev_mean             18/50   6.49e-02   0.000 (determ.)                 -
A4_nofreeze_s1           pose   chamfer_l2                   29/50   3.22e-01             0.006             0.000
A4_nofreeze_s1           pose   fscore@0.01                  26/50   8.88e-01             0.000             0.000
A4_nofreeze_s1           pose   fscore@0.02                  24/50   8.88e-01             0.001             0.000
A4_nofreeze_s1           pose   hausdorff_95                 32/50   6.49e-02             0.141             0.000
A4_nofreeze_s1           pose   normal_consistency           23/50   6.72e-01             0.001             0.000
A4_nofreeze_s1           pose   part_leg_distal_dist_mean    29/50   3.22e-01             0.000             0.000
A4_nofreeze_s1           pose   edge_logratio_absmean         0/50   1.78e-15   0.000 (determ.)                 -
A4_nofreeze_s1           pose   tri_quality_mean             25/50   1.00e+00   0.000 (determ.)                 -
A4_nofreeze_s1           pose   deform_mag_mean               0/50   1.78e-15   0.000 (determ.)                 -
A4_nofreeze_s1           pose   deform_mag_p95                0/50   1.78e-15   0.000 (determ.)                 -
A4_nofreeze_s1           pose   midline_dev_mean             25/50   1.00e+00   0.000 (determ.)                 -
A4_nofreeze_s1           final  chamfer_l2                   35/50   6.60e-03             0.001             0.000
A4_nofreeze_s1           final  fscore@0.01                  34/50   1.53e-02             0.561             0.000
A4_nofreeze_s1           final  fscore@0.02                  35/50   6.60e-03             0.812             0.000
A4_nofreeze_s1           final  hausdorff_95                 36/50   2.60e-03             0.000             0.000
A4_nofreeze_s1           final  normal_consistency           39/50   9.02e-05             0.000             0.000
A4_nofreeze_s1           final  part_leg_distal_dist_mean    31/50   1.19e-01             0.001             0.000
A4_nofreeze_s1           final  edge_logratio_absmean        35/50   6.60e-03   0.000 (determ.)                 -
A4_nofreeze_s1           final  tri_quality_mean             41/50   5.61e-06   0.000 (determ.)                 -
A4_nofreeze_s1           final  deform_mag_mean              50/50   1.78e-15   0.000 (determ.)                 -
A4_nofreeze_s1           final  deform_mag_p95               50/50   1.78e-15   0.000 (determ.)                 -
A4_nofreeze_s1           final  midline_dev_mean             19/50   1.19e-01   0.000 (determ.)                 -
A4_nofreeze_s2           pose   chamfer_l2                   29/50   3.22e-01             0.066             0.000
A4_nofreeze_s2           pose   fscore@0.01                  33/50   3.28e-02             0.654             0.000
A4_nofreeze_s2           pose   fscore@0.02                  31/50   1.19e-01             0.224             0.000
A4_nofreeze_s2           pose   hausdorff_95                 24/50   8.88e-01             0.000             0.000
A4_nofreeze_s2           pose   normal_consistency           23/50   6.72e-01             0.001             0.000
A4_nofreeze_s2           pose   part_leg_distal_dist_mean    26/50   8.88e-01             0.000             0.000
A4_nofreeze_s2           pose   edge_logratio_absmean         0/50   1.78e-15   0.000 (determ.)                 -
A4_nofreeze_s2           pose   tri_quality_mean             24/50   8.88e-01   0.000 (determ.)                 -
A4_nofreeze_s2           pose   deform_mag_mean               0/50   1.78e-15   0.000 (determ.)                 -
A4_nofreeze_s2           pose   deform_mag_p95                0/50   1.78e-15   0.000 (determ.)                 -
A4_nofreeze_s2           pose   midline_dev_mean             28/50   4.80e-01   0.000 (determ.)                 -
A4_nofreeze_s2           final  chamfer_l2                   40/50   2.39e-05             0.000             0.000
A4_nofreeze_s2           final  fscore@0.01                  37/50   9.36e-04             0.385             0.000
A4_nofreeze_s2           final  fscore@0.02                  38/50   3.06e-04             0.679             0.000
A4_nofreeze_s2           final  hausdorff_95                 40/50   2.39e-05             0.000             0.000
A4_nofreeze_s2           final  normal_consistency           40/50   2.39e-05             0.000             0.000
A4_nofreeze_s2           final  part_leg_distal_dist_mean    34/50   1.53e-02             0.441             0.000
A4_nofreeze_s2           final  edge_logratio_absmean        35/50   6.60e-03   0.000 (determ.)                 -
A4_nofreeze_s2           final  tri_quality_mean             40/50   2.39e-05   0.000 (determ.)                 -
A4_nofreeze_s2           final  deform_mag_mean              50/50   1.78e-15   0.000 (determ.)                 -
A4_nofreeze_s2           final  deform_mag_p95               50/50   1.78e-15   0.000 (determ.)                 -
A4_nofreeze_s2           final  midline_dev_mean             19/50   1.19e-01   0.000 (determ.)                 -
A5_robust                pose   chamfer_l2                    4/50   4.46e-10             0.000             0.000
A5_robust                pose   fscore@0.01                  48/50   2.27e-12             0.000             0.000
A5_robust                pose   fscore@0.02                  43/50   2.10e-07             0.000             0.000
A5_robust                pose   hausdorff_95                  4/50   4.46e-10             0.000             0.000
A5_robust                pose   normal_consistency           43/50   2.10e-07             0.000             0.000
A5_robust                pose   part_leg_distal_dist_mean    29/50   3.22e-01             0.000             0.000
A5_robust                pose   edge_logratio_absmean         0/50   1.78e-15   0.000 (determ.)                 -
A5_robust                pose   tri_quality_mean             42/50   1.16e-06   0.000 (determ.)                 -
A5_robust                pose   deform_mag_mean               0/50   1.78e-15   0.000 (determ.)                 -
A5_robust                pose   deform_mag_p95                0/50   1.78e-15   0.000 (determ.)                 -
A5_robust                pose   midline_dev_mean             32/50   6.49e-02   0.000 (determ.)                 -
A5_robust                final  chamfer_l2                    4/50   4.46e-10             0.000             0.000
A5_robust                final  fscore@0.01                  39/50   9.02e-05             0.001             0.000
A5_robust                final  fscore@0.02                  25/50   1.00e+00             0.030             0.000
A5_robust                final  hausdorff_95                 28/50   4.80e-01             0.000             0.000
A5_robust                final  normal_consistency           46/50   4.46e-10             0.000             0.000
A5_robust                final  part_leg_distal_dist_mean     5/50   4.21e-09             0.000             0.000
A5_robust                final  edge_logratio_absmean        38/50   3.06e-04   0.000 (determ.)                 -
A5_robust                final  tri_quality_mean             43/50   2.10e-07   0.000 (determ.)                 -
A5_robust                final  deform_mag_mean              47/50   3.71e-11   0.000 (determ.)                 -
A5_robust                final  deform_mag_p95               45/50   4.21e-09   0.000 (determ.)                 -
A5_robust                final  midline_dev_mean             30/50   2.03e-01   0.000 (determ.)                 -
B1_best_off0p2           pose   chamfer_l2                    6/50   3.24e-08             0.000             0.000
B1_best_off0p2           pose   fscore@0.01                   9/50   5.61e-06             0.000             0.000
B1_best_off0p2           pose   fscore@0.02                   7/50   2.10e-07             0.000             0.000
B1_best_off0p2           pose   hausdorff_95                 10/50   2.39e-05             0.000             0.000
B1_best_off0p2           pose   normal_consistency           22/50   4.80e-01             0.001             0.000
B1_best_off0p2           pose   part_leg_distal_dist_mean    39/50   9.02e-05             0.000             0.000
