name,contact_frac,contact_pairs_per_pt,hull_fill,area_over_hullarea,radial_med,radial_p95_over_med,limb_area_frac,extent_along_axis
01.obj,0.2125,0.50985,,0.2730167133207461,0.15159887821279378,3.9999398479068766,0.24155,1.9247469773731478
02.obj,0.19645,0.37955,,0.30414653661009644,0.16970559134699365,3.6919005110385394,0.28045,1.8562445131686987
03.obj,0.18825,0.39895,,0.29286165596922864,0.15885980899107927,3.620373931068617,0.284,1.7684929022636742
04.obj,0.17315,0.3508,,0.28894926262893506,0.16239793956440757,3.530077404240848,0.2453,1.813285876574522
05.obj,0.21125,0.44695,,0.26779825332073326,0.16583069219065025,3.6667029820398755,0.2604,1.9648811003163607
06.obj,0.20965,0.4359,,0.30133898700864414,0.15757439562146044,3.318720126315737,0.2551,1.9136619601230689
07.obj,0.2179,0.49065,,0.26246248959466534,0.15341306783546932,3.776055332732565,0.28455,1.8777155306931603
08.obj,0.25165,0.50565,,0.2903813758667498,0.16339968589203097,3.251308137277916,0.28525,1.7510048237463556
09.obj,0.25975,0.6144,,0.2878394350111246,0.16075516801996326,3.358530401392057,0.27295,1.8312854404761363
10.obj,0.37895,1.24595,,0.2342938678728549,0.138371273967022,3.962205238383726,0.287,1.8037840781296115
11.obj,0.3255,1.04575,,0.23847391921409816,0.13237711580997147,3.7770242228412596,0.25505,1.842354679961052
12.obj,0.3302,1.1352,,0.22697165824300364,0.13447287325789703,3.541403753156901,0.28195,1.7867956042115363
13.obj,0.2411,0.615,,0.23694689116827589,0.15017544389519522,4.111614846269962,0.276,1.8148062007361863
14.obj,0.21535,0.48905,,0.25096311696443635,0.16234152333180696,3.2408219212286538,0.23155,1.952260264127708
15.obj,0.16975,0.36075,,0.26161855349055607,0.1640252703744292,3.476639302284745,0.2462,2.0232527717835334
16.obj,0.2115,0.47565,,0.2567684576274672,0.15209403419868583,3.7202880882549465,0.2683,1.843931769623028
17.obj,0.17825,0.3991,,0.27057310172313226,0.16829415863476632,3.252417098894233,0.2205,1.92301307475568
18.obj,0.15515,0.3776,,0.27633651485845095,0.15409890421028394,3.2858809731849945,0.23165,1.8952835724316461
19.obj,0.1781,0.3907,,0.30409952769313753,0.16194848434630355,3.2219490418760572,0.2308,1.8013433109670598
20.obj,0.18485,0.35895,,0.3047552346215628,0.1653099990339524,3.2113921364906894,0.23615,1.9695421803983888
acanthomyrmex.obj,0.1886,0.2405,,0.3960913703502722,0.16379371771998533,3.3379188381183815,0.2616,1.9527440158230966
acanthostichus.obj,0.19115,0.2367,,0.5395443791157153,0.12759097086206972,3.2056358253247863,0.17665,1.8306177782879167
acromyrmex.obj,0.32045,0.60605,,0.3339834441396081,0.13677851479689704,3.4719145767750526,0.2536,1.693135073532456
aenictus-binghamii.obj,0.2247,0.3481,,0.29994779740119865,0.1333069181752296,3.752093953792187,0.268,1.915885111215908
amblyopone.obj,0.17075,0.203,,0.4872254918044819,0.14879286811910464,3.3644755962980692,0.21755,1.9451069404288337
ancyridris.obj,0.25975,0.3528,,0.33250913838385177,0.16338921865165723,3.666557623034479,0.2466,1.9233751592730868
ankylomyrma.obj,0.14675,0.1747,,0.5479817000870988,0.1861967013943115,2.794995152349731,0.1737,1.768035955193196
apomyrma.obj,0.18845,0.2831,,0.5831902468794108,0.12245615192216466,2.641916673095301,0.12065,1.960418296400312
atta-vollenweideri.obj,0.30425,0.6326,,0.3565697397988835,0.13654906404504719,3.2759745176745914,0.2276,1.644012946273664
basiceros.obj,0.20185,0.2203,,0.5803348917687302,0.1818279549999363,3.360781446703634,0.19605,1.9119088613060078
brachyponera-chinensis.obj,0.223,0.293,,0.4226219238378054,0.14852038820548902,3.5048734824018717,0.23915,1.9929932516841362
cataulacus.obj,0.133,0.1726,,0.5572266188249548,0.2055506130220854,2.7735072970520984,0.16175,1.9541545841187586
cephalotes-varians.obj,0.12625,0.1351,,0.6583312256608198,0.20483941709773962,3.021660021782897,0.16765,1.9069932672186682
cephalotes.obj,0.11245,0.12255,,0.9082266165433803,0.2058775176998981,2.6215884209212468,0.13095,1.8580340153563766
colobopsis-conica.obj,0.16885,0.23475,,0.41688377368022833,0.15340382397453092,2.989884783868279,0.17995,1.8455728480110007
cyphomyrmex.obj,0.2076,0.28055,,0.4668723181975628,0.16495236263692736,3.2740964961370254,0.25465,1.820769235014411
daceton.obj,0.193,0.22815,,0.4325031478932229,0.1541767663518157,3.3780301682903073,0.1865,1.9492369205659865
