name,contact_frac,contact_pairs_per_pt,hull_fill,area_over_hullarea,radial_med,radial_p95_over_med,limb_area_frac,extent_along_axis
Acanthostichus_aff.brevicornis_CASENT0744328_processed.obj,0.06545,0.0813,,0.6688114362810966,0.1701866971767369,2.0445761841404493,0.0557,1.9683622485946097
Acromyrmex_coronatus_CASENT0744365_processed.obj,0.12505,0.1214,,0.5749743556208374,0.2736376937387385,2.493577130428412,0.11075,1.500214370613301
Acromyrmex_lobicornis_CASENT0878007_processed.obj,0.0796,0.0881,,0.8602725338766509,0.2886504895894623,2.0380070906467505,0.0585,1.6904373949049634
Anochetus_risii_CASENT0877608_processed.obj,0.1502,0.2164,,0.5828751130768742,0.1911040500719235,2.1390252693400122,0.0737,1.8248301993791203
Anochetus_risii_CASENT0877609_processed.obj,0.04855,0.044,,0.6399589164035417,0.34507825786451074,2.2715736307126457,0.10525,1.820766641547677
Aphaenogaster_pallida_CASENT0745235_processed.obj,0.0751,0.0788,,0.623804926010256,0.23423751200489323,2.1870224809526055,0.0897,1.779366103481868
Atopomyrmex_mocquerysi_CASENT0744784_processed.obj,0.16585,0.24455,,0.5054920078631361,0.21823035405811045,1.7581049220878329,0.01835,1.990431007340596
Carebara_trechideros_CASENT0877591_processed.obj,0.1852,0.3451,,0.4585064373350647,0.20703486831183066,2.4250650391512787,0.1342,1.8310391378967215
Centromyrmex_brachycola_CASENT0744052_processed.obj,0.2555,0.4614,,0.7862347088674361,0.1772711818742511,2.04981464879554,0.0546,1.9634059369537407
Cephalotes_minutus_CASENT0709253_processed.obj,0.31215,0.5248,,1.3033497280152337,0.18289079484285736,1.6614100505059939,0.0,1.6846998804920097
Cephalotes_simillimus_CASENT0744408_processed.obj,0.33815,0.44945,,1.5531200470193596,0.24382391523110697,1.6643403188581276,0.00905,1.7617589076640012
Cephalotes_spinosus_CASENT0744158_processed.obj,0.2427,0.4276,,1.2962904129533594,0.20838035887591486,1.7828111074568698,0.02325,1.4712423688157574
Crematogaster_nawai_OKENT0105046_processed.obj,0.6181,0.90455,,1.1688451650512448,0.21981640405485386,2.17551087458118,0.07525,1.4872944270447408
Cryptopone_sauteri_CASENT0743771_processed.obj,0.4104,0.63135,,0.9858848861669145,0.21915869455143183,1.993536005091209,0.049,1.847261959931018
Cyphoidris_afrc-tz01_CASENT0744810_processed.obj,0.15155,0.13245,,1.3552656805924839,0.40211772179599836,1.8142787156074902,0.0266,1.8614124805412464
Cyphomyrmex_cf.minutus_CASENT0744280_processed.obj,0.17475,0.13885,,1.5824401764929683,0.40111379137603564,2.010716468598928,0.05235,1.8399262992626921
Dilobocondyla_fouqueti_CASENT0745576_processed.obj,0.16645,0.24105,,0.8000950229700164,0.22026895248893985,2.650377600417388,0.1358,1.827705197578744
Dorylus_fulvus_CASENT0745678_processed.obj,0.31685,0.50625,,0.8045556425935524,0.1765693548640656,1.7817525376648453,0.0236,1.8285767688677028
Eciton_hamatum_CASENT0744580_processed.obj,0.2652,0.40615,,0.48827918461558634,0.16463635160887868,1.9323849904032047,0.03845,1.583605111197724
Ectatomma_brunneum_CASENT0744575_processed.obj,0.11005,0.08575,,0.9496025947103485,0.33848178301677145,2.091894970368604,0.06845,1.9721922508734173
Eurhopalothrix_procera_CASENT0745605_processed.obj,0.16285,0.1952,,0.9978933983050753,0.27049366000800745,2.0150205264781467,0.05275,1.5380785823944043
Heteroponera_panamensis_CASENT0744055_processed.obj,0.1581,0.1542,,1.1087055819255303,0.4175227011024113,1.8708493847316232,0.0306,1.9179045649719364
